participant_label_exp1,embezzle,cluster_number,corruption_level,choice,frompilot
5ced6f74a316c400016f1249,1,1,1,1,0
5c9e119a881e9800147050da,1,1,1,1,0
5c9e119a881e9800147050da,1,1,1,1,0
5e68d2b5576136000ba058a2,1,3,1,1,0
5e7388c7cbf8d82e7843bdc5,1,5,1,1,0
5be2ef2206c23800019f4731,0,10,0,1,0
55f1ca7532af7400121700cc,0,8,0,1,0
60feb4a91f63a713823af9e0,0,6,0,1,1
5d4ec984760b4300018fe517,1,10,0,1,0
5fc2a391bd7dc21720d0160a,0,10,0,1,0
5f37f2d6d5b7e82a1f62d54a,1,2,1,1,0
5f04d2c3e5751c7a3dc73825,1,5,1,1,0
5a17ffb8074b190001252c89,1,3,1,1,0
5f40c670f10f171ff50afe48,1,4,1,1,0
5b605c4e2696a70001eeef36,1,8,0,1,0
59b859e711212f0001cd10ff,1,3,1,1,0
6103ecec19120bbb47800858,0,2,1,1,1
5d45bde698c84000164e1200,0,9,0,1,0
5fc2a391bd7dc21720d0160a,0,10,0,1,0
614dd1ef0425aaf131393cc9,1,1,1,1,0
615ea4d855da47009a22c79f,0,10,0,1,0
5c9e119a881e9800147050da,1,1,1,1,0
5f216415e32db6041022a27b,1,3,1,1,0
5a17ffb8074b190001252c89,1,3,1,1,0
602d1dd2d6ab3e694ea6ae9c,1,2,1,1,0
5d35989e71b4880017d5cc81,0,10,0,1,0
6082aa29c655ceb5b313bc03,0,6,0,1,0
605a0a7feebaa514d23eb7ca,0,10,0,1,0
603e97037466720009754400,1,4,1,1,0
5e4d0c899a56a0158d953f82,0,3,1,1,1
60574330f62e4338c320ebd6,0,8,0,1,0
5ebd9828c25ad30a611bb585,0,6,0,1,0
61048a10807d69f6f548d8d9,0,9,0,1,0
60cb0d7943161ccb163feadd,1,5,1,1,0
5b79e92cdb11320001c3d5da,0,7,0,1,0
5a17ffb8074b190001252c89,1,3,1,1,0
5cd2ebff208b960001a10699,0,8,0,1,0
60cb0d7943161ccb163feadd,1,5,1,1,0
5fa182a5b0a2b2294d1acca6,0,1,1,1,1
5c56cab6acd2d70001ceae40,1,3,1,1,0
615ea4d855da47009a22c79f,0,10,0,1,0
5f8ac37961bf52177f0ec44e,1,1,1,1,0
62348cbf42f35d633a816dcd,0,7,0,1,0
5fa182a5b0a2b2294d1acca6,0,1,1,1,1
61605d5958194ce00c7b9c91,1,3,1,1,0
